,국가(대륙)별,상품군별,판매유형별,시점,데이터
350,중국,가전·전자·통신기기,면세점 이외,2022.1/4,164
351,중국,가전·전자·통신기기,면세점 이외,2022.2/4 p),76
352,중국,소프트웨어,면세점 이외,2017.1/4,3
353,중국,소프트웨어,면세점 이외,2017.2/4,8
354,중국,소프트웨어,면세점 이외,2017.3/4,4
355,중국,소프트웨어,면세점 이외,2017.4/4,54
356,중국,소프트웨어,면세점 이외,2018.1/4,4
357,중국,소프트웨어,면세점 이외,2018.2/4,6
358,중국,소프트웨어,면세점 이외,2018.3/4,4
359,중국,소프트웨어,면세점 이외,2018.4/4,13
360,중국,소프트웨어,면세점 이외,2019.1/4,6
361,중국,소프트웨어,면세점 이외,2019.2/4,1
362,중국,소프트웨어,면세점 이외,2019.3/4,0
363,중국,소프트웨어,면세점 이외,2019.4/4,0
364,중국,소프트웨어,면세점 이외,2020.1/4,1
365,중국,소프트웨어,면세점 이외,2020.2/4,2
366,중국,소프트웨어,면세점 이외,2020.3/4,1
367,중국,소프트웨어,면세점 이외,2020.4/4,0
368,중국,소프트웨어,면세점 이외,2021.1/4,1
369,중국,소프트웨어,면세점 이외,2021.2/4,0
370,중국,소프트웨어,면세점 이외,2021.3/4,2
371,중국,소프트웨어,면세점 이외,2021.4/4,0
372,중국,소프트웨어,면세점 이외,2022.1/4,0
373,중국,소프트웨어,면세점 이외,2022.2/4 p),0
374,중국,서 적,면세점 이외,2017.1/4,1393
375,중국,서 적,면세점 이외,2017.2/4,931
376,중국,서 적,면세점 이외,2017.3/4,1981
377,중국,서 적,면세점 이외,2017.4/4,1500
378,중국,서 적,면세점 이외,2018.1/4,1272
379,중국,서 적,면세점 이외,2018.2/4,1802
380,중국,서 적,면세점 이외,2018.3/4,1474
381,중국,서 적,면세점 이외,2018.4/4,1749
382,중국,서 적,면세점 이외,2019.1/4,1551
383,중국,서 적,면세점 이외,2019.2/4,1185
384,중국,서 적,면세점 이외,2019.3/4,1100
385,중국,서 적,면세점 이외,2019.4/4,1237
386,중국,서 적,면세점 이외,2020.1/4,1575
387,중국,서 적,면세점 이외,2020.2/4,1591
388,중국,서 적,면세점 이외,2020.3/4,1829
389,중국,서 적,면세점 이외,2020.4/4,1664
390,중국,서 적,면세점 이외,2021.1/4,3616
391,중국,서 적,면세점 이외,2021.2/4,3149
392,중국,서 적,면세점 이외,2021.3/4,3324
393,중국,서 적,면세점 이외,2021.4/4,3762
394,중국,서 적,면세점 이외,2022.1/4,3309
395,중국,서 적,면세점 이외,2022.2/4 p),4448
396,중국,사무·문구,면세점 이외,2017.1/4,119
397,중국,사무·문구,면세점 이외,2017.2/4,73
398,중국,사무·문구,면세점 이외,2017.3/4,41
399,중국,사무·문구,면세점 이외,2017.4/4,95
400,중국,사무·문구,면세점 이외,2018.1/4,59
401,중국,사무·문구,면세점 이외,2018.2/4,81
402,중국,사무·문구,면세점 이외,2018.3/4,60
403,중국,사무·문구,면세점 이외,2018.4/4,95
404,중국,사무·문구,면세점 이외,2019.1/4,52
405,중국,사무·문구,면세점 이외,2019.2/4,48
406,중국,사무·문구,면세점 이외,2019.3/4,44
407,중국,사무·문구,면세점 이외,2019.4/4,43
408,중국,사무·문구,면세점 이외,2020.1/4,258
409,중국,사무·문구,면세점 이외,2020.2/4,76
410,중국,사무·문구,면세점 이외,2020.3/4,48
411,중국,사무·문구,면세점 이외,2020.4/4,21
412,중국,사무·문구,면세점 이외,2021.1/4,53
413,중국,사무·문구,면세점 이외,2021.2/4,54
414,중국,사무·문구,면세점 이외,2021.3/4,109
415,중국,사무·문구,면세점 이외,2021.4/4,47
416,중국,사무·문구,면세점 이외,2022.1/4,73
417,중국,사무·문구,면세점 이외,2022.2/4 p),213
418,중국,음반·비디오·악기,면세점 이외,2017.1/4,1629
419,중국,음반·비디오·악기,면세점 이외,2017.2/4,1346
420,중국,음반·비디오·악기,면세점 이외,2017.3/4,3026
421,중국,음반·비디오·악기,면세점 이외,2017.4/4,2436
422,중국,음반·비디오·악기,면세점 이외,2018.1/4,1850
423,중국,음반·비디오·악기,면세점 이외,2018.2/4,3003
424,중국,음반·비디오·악기,면세점 이외,2018.3/4,4519
425,중국,음반·비디오·악기,면세점 이외,2018.4/4,5674
426,중국,음반·비디오·악기,면세점 이외,2019.1/4,3447
427,중국,음반·비디오·악기,면세점 이외,2019.2/4,9077
428,중국,음반·비디오·악기,면세점 이외,2019.3/4,10470
429,중국,음반·비디오·악기,면세점 이외,2019.4/4,13199
430,중국,음반·비디오·악기,면세점 이외,2020.1/4,18103
431,중국,음반·비디오·악기,면세점 이외,2020.2/4,26697
432,중국,음반·비디오·악기,면세점 이외,2020.3/4,32589
433,중국,음반·비디오·악기,면세점 이외,2020.4/4,47689
434,중국,음반·비디오·악기,면세점 이외,2021.1/4,13339
435,중국,음반·비디오·악기,면세점 이외,2021.2/4,18993
436,중국,음반·비디오·악기,면세점 이외,2021.3/4,12679
437,중국,음반·비디오·악기,면세점 이외,2021.4/4,17863
438,중국,음반·비디오·악기,면세점 이외,2022.1/4,16443
439,중국,음반·비디오·악기,면세점 이외,2022.2/4 p),27632
440,중국,의류 및 패션 관련상품,면세점 이외,2017.1/4,26552
441,중국,의류 및 패션 관련상품,면세점 이외,2017.2/4,19064
442,중국,의류 및 패션 관련상품,면세점 이외,2017.3/4,14281
443,중국,의류 및 패션 관련상품,면세점 이외,2017.4/4,24351
444,중국,의류 및 패션 관련상품,면세점 이외,2018.1/4,23647
445,중국,의류 및 패션 관련상품,면세점 이외,2018.2/4,21928
446,중국,의류 및 패션 관련상품,면세점 이외,2018.3/4,17180
447,중국,의류 및 패션 관련상품,면세점 이외,2018.4/4,24856
448,중국,의류 및 패션 관련상품,면세점 이외,2019.1/4,21745
449,중국,의류 및 패션 관련상품,면세점 이외,2019.2/4,19688
450,중국,의류 및 패션 관련상품,면세점 이외,2019.3/4,16215
451,중국,의류 및 패션 관련상품,면세점 이외,2019.4/4,20196
452,중국,의류 및 패션 관련상품,면세점 이외,2020.1/4,15243
453,중국,의류 및 패션 관련상품,면세점 이외,2020.2/4,18497
454,중국,의류 및 패션 관련상품,면세점 이외,2020.3/4,17668
455,중국,의류 및 패션 관련상품,면세점 이외,2020.4/4,21660
